,Open,High,Low,Close,Adj Close,Volume
2021-12-16 09:00:00+01:00,498.0,498.79998779296875,496.6000061035156,497.6000061035156,497.6000061035156,0.0
2021-12-16 09:10:00+01:00,500.0,500.5,500.0,500.5,500.5,9.0
2021-12-16 09:15:00+01:00,501.0,501.0,501.0,501.0,501.0,1.0
2021-12-16 09:35:00+01:00,502.5,503.5,502.5,503.5,503.5,116.0
2021-12-16 09:40:00+01:00,503.0,503.5,503.0,503.5,503.5,32.0
2021-12-16 10:00:00+01:00,502.0,503.0,502.0,503.0,503.0,49.0
2021-12-16 10:05:00+01:00,502.0,502.0,502.0,502.0,502.0,41.0
2021-12-16 10:10:00+01:00,502.0,503.0,502.0,503.0,503.0,34.0
2021-12-16 10:25:00+01:00,503.0,503.0,502.5,503.0,503.0,110.0
2021-12-16 10:30:00+01:00,503.0,503.0,503.0,503.0,503.0,25.0
2021-12-16 10:35:00+01:00,503.0,503.0,503.0,503.0,503.0,10.0
2021-12-16 10:40:00+01:00,502.5,502.5,502.5,502.5,502.5,17.0
2021-12-16 10:50:00+01:00,502.0,502.0,500.5,500.5,500.5,20.0
2021-12-16 10:55:00+01:00,500.5,500.5,500.5,500.5,500.5,43.0
2021-12-16 11:10:00+01:00,500.5,500.5,500.5,500.5,500.5,35.0
2021-12-16 11:20:00+01:00,500.0,500.5,500.0,500.5,500.5,23.0
2021-12-16 11:35:00+01:00,500.5,500.5,500.5,500.5,500.5,14.0
2021-12-16 11:40:00+01:00,500.5,500.5,500.5,500.5,500.5,10.0
2021-12-16 11:45:00+01:00,501.0,501.0,501.0,501.0,501.0,6.0
2021-12-16 11:50:00+01:00,501.5,504.5,501.5,504.5,504.5,283.0
2021-12-16 12:00:00+01:00,505.5,506.5,505.5,506.5,506.5,28.0
2021-12-16 12:05:00+01:00,507.5,507.5,507.0,507.0,507.0,33.0
2021-12-16 12:10:00+01:00,507.5,509.0,507.5,509.0,509.0,46.0
2021-12-16 12:15:00+01:00,508.5,508.5,507.5,507.5,507.5,80.0
2021-12-16 12:30:00+01:00,508.5,508.5,508.5,508.5,508.5,12.0
2021-12-16 12:35:00+01:00,508.5,509.0,508.5,509.0,509.0,58.0
2021-12-16 12:40:00+01:00,509.0,509.0,508.5,508.5,508.5,14.0
2021-12-16 12:45:00+01:00,508.5,509.5,508.5,509.5,509.5,31.0
2021-12-16 12:55:00+01:00,508.0,508.0,507.5,507.5,507.5,26.0
2021-12-16 13:05:00+01:00,507.0,507.0,507.0,507.0,507.0,30.0
2021-12-16 13:10:00+01:00,506.5,508.0,506.5,507.5,507.5,145.0
2021-12-16 13:15:00+01:00,508.0,508.0,507.5,507.5,507.5,43.0
2021-12-16 13:20:00+01:00,507.0,507.0,507.0,507.0,507.0,6.0
2021-12-16 13:30:00+01:00,506.5,506.5,506.5,506.5,506.5,24.0
2021-12-16 13:35:00+01:00,507.0,507.0,507.0,507.0,507.0,14.0
2021-12-16 13:45:00+01:00,507.0,507.0,507.0,507.0,507.0,7.0
2021-12-16 14:00:00+01:00,506.0,506.5,506.0,506.5,506.5,35.0
2021-12-16 14:10:00+01:00,506.0,506.0,505.5,505.5,505.5,19.0
2021-12-16 14:15:00+01:00,505.5,505.5,505.5,505.5,505.5,14.0
2021-12-16 14:20:00+01:00,505.5,505.5,505.5,505.5,505.5,13.0
2021-12-16 14:30:00+01:00,505.0,506.0,505.0,506.0,506.0,51.0
2021-12-16 14:35:00+01:00,505.5,505.5,505.5,505.5,505.5,1.0
2021-12-16 14:45:00+01:00,505.0,505.0,504.5,504.5,504.5,47.0
2021-12-16 14:50:00+01:00,504.0,504.0,504.0,504.0,504.0,18.0
2021-12-16 14:55:00+01:00,503.0,503.0,503.0,503.0,503.0,1.0
2021-12-16 15:00:00+01:00,503.5,504.0,503.5,504.0,504.0,47.0
2021-12-16 15:05:00+01:00,503.5,504.5,503.5,504.5,504.5,21.0
2021-12-16 15:10:00+01:00,503.5,504.5,503.5,504.5,504.5,19.0
2021-12-16 15:15:00+01:00,504.5,504.5,504.0,504.0,504.0,18.0
2021-12-16 15:20:00+01:00,505.0,505.0,505.0,505.0,505.0,11.0
2021-12-16 15:25:00+01:00,505.5,505.5,504.5,505.0,505.0,105.0
2021-12-16 15:30:00+01:00,504.5,504.5,503.0,503.0,503.0,32.0
2021-12-16 15:35:00+01:00,503.5,504.0,502.5,502.5,502.5,78.0
2021-12-16 15:40:00+01:00,502.5,502.5,501.5,501.5,501.5,12.0
2021-12-16 15:45:00+01:00,502.0,502.0,502.0,502.0,502.0,58.0
2021-12-16 15:50:00+01:00,502.0,502.0,502.0,502.0,502.0,22.0
2021-12-16 15:55:00+01:00,502.5,502.5,501.5,501.5,501.5,45.0
2021-12-16 16:00:00+01:00,502.0,502.0,501.5,502.0,502.0,14.0
2021-12-16 16:05:00+01:00,503.0,503.0,502.5,502.5,502.5,24.0
2021-12-16 16:10:00+01:00,501.5,501.5,501.5,501.5,501.5,2.0
2021-12-16 16:15:00+01:00,501.5,502.5,501.5,502.5,502.5,32.0
2021-12-16 16:20:00+01:00,502.0,502.0,502.0,502.0,502.0,32.0
