,Open,High,Low,Close,Adj Close,Volume
2021-12-16 09:00:00+01:00,488.5,488.5,485.5,488.5,488.5,0.0
2021-12-16 09:05:00+01:00,485.5,488.5,485.0,486.5,486.5,132.0
2021-12-16 09:10:00+01:00,486.5,490.0,486.5,489.5,489.5,210.0
2021-12-16 09:15:00+01:00,491.0,491.0,489.5,489.5,489.5,143.0
2021-12-16 09:20:00+01:00,492.0,492.5,492.0,492.5,492.5,14.0
2021-12-16 09:25:00+01:00,492.0,493.0,489.5,489.5,489.5,158.0
2021-12-16 09:30:00+01:00,489.5,489.5,489.5,489.5,489.5,64.0
2021-12-16 09:35:00+01:00,489.5,489.5,489.5,489.5,489.5,10.0
2021-12-16 09:50:00+01:00,484.0,484.0,484.0,484.0,484.0,14.0
2021-12-16 09:55:00+01:00,484.0,485.5,482.5,485.0,485.0,63.0
2021-12-16 10:05:00+01:00,482.0,482.0,482.0,482.0,482.0,8.0
2021-12-16 10:10:00+01:00,481.5,482.0,481.5,482.0,482.0,24.0
2021-12-16 10:15:00+01:00,483.0,483.0,483.0,483.0,483.0,16.0
2021-12-16 10:20:00+01:00,483.5,483.5,482.5,482.5,482.5,71.0
2021-12-16 10:25:00+01:00,480.0,480.0,480.0,480.0,480.0,20.0
2021-12-16 10:35:00+01:00,481.0,481.0,481.0,481.0,481.0,10.0
2021-12-16 10:40:00+01:00,481.5,481.5,481.5,481.5,481.5,8.0
2021-12-16 10:50:00+01:00,481.0,481.0,481.0,481.0,481.0,7.0
2021-12-16 10:55:00+01:00,481.5,481.5,481.5,481.5,481.5,8.0
2021-12-16 11:00:00+01:00,482.5,483.5,482.5,483.5,483.5,15.0
2021-12-16 11:10:00+01:00,483.5,483.5,483.5,483.5,483.5,17.0
2021-12-16 11:15:00+01:00,482.5,482.5,482.5,482.5,482.5,58.0
2021-12-16 11:20:00+01:00,482.5,482.5,482.5,482.5,482.5,1.0
2021-12-16 11:25:00+01:00,481.5,481.5,481.5,481.5,481.5,12.0
2021-12-16 11:35:00+01:00,482.5,482.5,480.0,480.0,480.0,67.0
